term,stem,count,x,y,z,x,y,sample_size,ratio,google_w2v_x,google_w2v_y,,180,260
uk,uk,3,,,,,,1000,0.003,1.911373787,-0.880371566,,,
tyler,tyler,3,,,,,,1000,0.003,1.435335496,0.326354255,,,
transcript,transcript,3,,,,,,1000,0.003,-0.403212073,0.122068463,,,
titans,titan,3,,,,,,1000,0.003,-0.310865155,-0.10387279,,,
therapy,therapi,3,,,,,,1000,0.003,-0.475772508,-0.135407491,,,
therapeutics,therapeut,3,,,,,,1000,0.003,-0.492969316,-0.551248272,,,
teammates,teammat,3,,,,,,1000,0.003,-0.712480888,1.152826726,,,
taylor,taylor,3,,,,,,1000,0.003,1.806718422,0.05952247,,,
sustainability,sustain,3,,,,,,1000,0.003,-0.725074386,-0.685380679,,,
subway,subway,3,,,,,,1000,0.003,-0.341952301,0.320206662,,,
subsidies,subsidi,3,,,,,,1000,0.003,-0.693169328,-0.41256161,,,
submit,submit,3,,,,,,1000,0.003,-0.558593791,-0.559868525,,,
students,student,3,,,,,,1000,0.003,-0.764440047,0.308226308,,,
stephanie,stephani,3,,,,,,1000,0.003,1.367314365,0.231647211,,,
state-of-the-art,state-of-the-art,3,,,,,,1000,0.003,,,,,
spain,spain,3,,,,,,1000,0.003,1.9395419,-0.252331138,,,
situated,situat,3,,,,,,1000,0.003,-0.338670721,-0.180225981,,,
sint,sint,3,,,,,,1000,0.003,-0.033356831,0.209502002,,,
singer,singer,3,,,,,,1000,0.003,-0.408643317,0.716237407,,,
significantly,signific,3,,,,,,1000,0.003,-0.563151213,-0.674379392,,,
sheriffs,sheriff,3,,,,,,1000,0.003,-0.149341761,0.581206052,,,
sector,sector,3,,,,,,1000,0.003,-0.554040277,-0.747026585,,,
script,script,3,,,,,,1000,0.003,-0.463834782,0.444134446,,,
screens,screen,3,,,,,,1000,0.003,-0.46117935,-0.357357783,,,
scng,scng,3,,,,,,1000,0.003,,,,,
sawant,sawant,3,,,,,,1000,0.003,,,,,
satellites,satellit,3,,,,,,1000,0.003,-0.608637573,-0.244052305,,,
santa,santa,3,,,,,,1000,0.003,1.416728736,0.181564316,,,
sanctuary,sanctuari,3,,,,,,1000,0.003,-0.492681731,0.547693222,,,
russia,russia,3,,,,,,1000,0.003,1.848699834,-0.308000815,,,
rousseau,rousseau,3,,,,,,1000,0.003,,,,,
rome,rome,3,,,,,,1000,0.003,1.464016425,0.101587733,,,
rolle,roll,3,,,,,,1000,0.003,0.078526003,0.14961752,,,
rfa,rfa,3,,,,,,1000,0.003,,,,,
resolutions,resolut,3,,,,,,1000,0.003,-0.472344826,-0.283050238,,,
residences,resid,3,,,,,,1000,0.003,-0.738159054,0.056506384,,,
renewed,renew,3,,,,,,1000,0.003,-0.819965289,-0.425054371,,,
reminds,remind,3,,,,,,1000,0.003,-0.301841082,-0.082927327,,,
rema,rema,3,,,,,,1000,0.003,0.02413609,-0.152450922,,,
relatable,relat,3,,,,,,1000,0.003,-0.668832525,0.152325118,,,
recruitment,recruit,3,,,,,,1000,0.003,-0.506667328,-0.357138176,,,
rebuild,rebuild,3,,,,,,1000,0.003,-0.714375954,-0.067349488,,,
raping,rape,3,,,,,,1000,0.003,-0.605794126,0.874177463,,,
ramsay,ramsay,3,,,,,,1000,0.003,,,,,
rally,ralli,3,,,,,,1000,0.003,-0.647661231,0.521859518,,,
raging,rage,3,,,,,,1000,0.003,-0.212170936,0.193169995,,,
quote,quot,3,,,,,,1000,0.003,0.018968011,-0.01889376,,,
queen,queen,3,,,,,,1000,0.003,-0.009001296,0.645569124,,,
progressive,progress,3,,,,,,1000,0.003,-0.313152794,-0.357075759,,,
privilege,privileg,3,,,,,,1000,0.003,-0.552350977,0.084448494,,,
princess,princess,3,,,,,,1000,0.003,-0.122028496,0.721071449,,,
